INSTALACAO ORIGEM;MUNICIPIO ORIGEM;UF ORIGEM;MODAL ORIGEM;INSTALACAO DESTINO;MUNICIPIO DESTINO;UF DESTINO;REDE_ORIGEM;REDE_DESTINO
Refinaria;SAO FRANCISCO DO CONDE;BA;DUTOVIARIO;BASE PRIMARIA/TERMINAL;CANDEIAS;BA;A;B
Refinaria;SAO FRANCISCO DO CONDE;BA;DUTOVIARIO;BASE PRIMARIA/TERMINAL;CANDEIAS;BA;A;B
Refinaria;SAO FRANCISCO DO CONDE;BA;DUTOVIARIO;BASE PRIMARIA/TERMINAL;ITABUNA;BA;A;B
Refinaria;SAO FRANCISCO DO CONDE;BA;DUTOVIARIO;BASE PRIMARIA/TERMINAL;JEQUIE;BA;A;B
Refinaria;SAO FRANCISCO DO CONDE;BA;DUTOVIARIO;BASE PRIMARIA/TERMINAL;SAO FRANCISCO DO CONDE;BA;A;B
Refinaria;SAO FRANCISCO DO CONDE;BA;DUTOVIARIO;BASE PRIMARIA/TERMINAL;SAO FRANCISCO DO CONDE;BA;A;B
Refinaria;SAO FRANCISCO DO CONDE;BA;RODOVIARIO;BASE PRIMARIA/TERMINAL;BARREIRAS;BA;A;B
Petroquímica;CAMACARI;BA;DUTOVIARIO;REFINARIA;SAO FRANCISCO DO CONDE;BA;A;B
Petroquímica;CAMACARI;BA;DUTOVIARIO;REFINARIA;SAO FRANCISCO DO CONDE;BA;A;B
Porto;FORTALEZA;CE;MARITIMO;BASE PRIMARIA/TERMINAL;FORTALEZA;CE;A;B
Suape;IPOJUCA;PE;MARITIMO;BASE PRIMARIA/TERMINAL;IPOJUCA;PE;A;B
Refinaria;IPOJUCA;PE;MARITIMO;BASE SECUNDARIA;CRATO;CE;A;B
Refinaria;IPOJUCA;PE;MARITIMO;BASE PRIMARIA/TERMINAL;IPOJUCA;PE;A;B
Refinaria;GUAMARE;RN;MARITIMO;BASE PRIMARIA/TERMINAL;NATAL;RN;A;B
Porto;SAO LUIS;MA;MARITIMO;BASE PRIMARIA/TERMINAL;SAO LUIS;MA;A;B
Porto;SAO LUIS;MA;MARITIMO;BASE PRIMARIA/TERMINAL;SAO LUIS;MA;A;B
Porto;SAO LUIS;MA;MARITIMO;BASE PRIMARIA/TERMINAL;SAO LUIS;MA;A;B
Refinaria;MANAUS;AM;DUTOVIARIO;BASE PRIMARIA/TERMINAL;MANAUS;AM;A;B
Refinaria;MANAUS;AM;DUTOVIARIO;BASE PRIMARIA/TERMINAL;MANAUS;AM;A;B
Refinaria;MANAUS;AM;DUTOVIARIO;BASE PRIMARIA/TERMINAL;ITACOATIARA;AM;A;B
Refinaria;MANAUS;AM;DUTOVIARIO;BASE PRIMARIA/TERMINAL;MANAUS;AM;A;B
