,source,target,volume_m3,volume_perc,distancia
0,REFI SAO FRANCISCO DO CONDE,REFI CANDEIAS,,,15.439464653076303
1,REFI SAO FRANCISCO DO CONDE,REFI ITABUNA,,,249.75694201455516
2,REFI SAO FRANCISCO DO CONDE,REFI JEQUIE,,,205.05462359145204
3,REFI SAO FRANCISCO DO CONDE,REFI SAO FRANCISCO DO CONDE,,,1.0
4,REFI SAO FRANCISCO DO CONDE,REFI BARREIRAS,,,688.2189462498623
5,REFI SAO FRANCISCO DO CONDE,REFI CAMACARI,,,39.276251779356066
6,REFI SAO FRANCISCO DO CONDE,REFI LARANJEIRAS,,,260.4457725385155
7,REFI SAO FRANCISCO DO CONDE,REFI JUAZEIRO,,,407.9552095402412
8,REFI SAO FRANCISCO DO CONDE,REFI MONTES CLAROS,,,720.4553167438092
9,REFI CANDEIAS,REFI JUAZEIRO,,,420.2270665172795
10,REFI CANDEIAS,REFI MONTES CLAROS,,,727.6935804483766
11,REFI ITABUNA,REFI TEIXEIRA DE FREITAS,,,309.99113902995396
12,REFI JEQUIE,DIST JEQUIE,,,1.0
13,REFI BARREIRAS,REFI LUIS EDUARDO MAGALHAES,,,86.03205655251799
14,REFI CAMACARI,REFI SAO FRANCISCO DO CONDE,,,39.276251779356066
15,REFI CAMACARI,DIST CAMACARI,,,1.0
16,REFI LARANJEIRAS,DIST LARANJEIRAS,,,1.0
17,REFI JUAZEIRO,DIST JUAZEIRO,,,1.0
18,REFI MONTES CLAROS,DIST MONTES CLAROS,,,1.0
19,REFI TEIXEIRA DE FREITAS,DIST TEIXEIRA DE FREITAS,,,1.0
20,DIST JEQUIE,CONS JEQUIE,,,1.0
21,REFI LUIS EDUARDO MAGALHAES,DIST LUIS EDUARDO MAGALHAES,,,1.0
22,DIST CAMACARI,DIST SAO FRANCISCO DO CONDE,174531.0,0.0027229724572750236,39.276251779356066
23,DIST CAMACARI,DIST CANDEIAS,100391.0,0.0015662657519769948,24.1647834111548
24,DIST CAMACARI,DIST LARANJEIRAS,49442.0,0.0007713770289094299,245.89670043824796
25,DIST CAMACARI,DIST LAJEADO,24173.0,0.00037713880748812043,2335.2064878653528
26,DIST CAMACARI,DIST FEIRA DE SANTANA,21219.0,0.0003310515184747622,84.54640127353147
27,DIST CAMACARI,DIST LUIS EDUARDO MAGALHAES,16059.0,0.0002505469784243464,812.9518200119055
28,DIST CAMACARI,DIST JUAZEIRO,10511.0,0.0001639889962151009,435.56845032533914
29,DIST CAMACARI,DIST NOSSA SENHORA DO SOCORRO,9933.0,0.00015497123959705043,244.12667413804778
30,DIST CAMACARI,DIST CORONEL BARROS,1678.0,2.6179577171433668e-05,2388.5998621641706
31,DIST CAMACARI,DIST JEQUIE,1510.0,2.3558499123280596e-05,229.61950998545046
32,DIST CAMACARI,DIST VILA VELHA,1387.0,2.1639495552311382e-05,875.0576240833931
33,DIST CAMACARI,DIST ESTEIO,124.0,1.9346052260177443e-06,2322.121832966914
34,REFI FORTALEZA,REFI FORTALEZA,,,1.0
35,REFI FORTALEZA,REFI MARACANAU,,,19.118904072477957
36,REFI MARACANAU,DIST MARACANAU,,,1.0
37,REFI IPOJUCA,REFI IPOJUCA,,,1.0
38,REFI IPOJUCA,REFI CRATO,,,496.71498304840264
39,REFI IPOJUCA,REFI CHA DE ALEGRIA,,,45.744557551889216
40,REFI IPOJUCA,REFI CABEDELO,,,158.39459453386328
41,REFI CRATO,DIST CRATO,,,1.0
42,REFI CHA DE ALEGRIA,DIST CHA DE ALEGRIA,,,1.0
43,REFI CABEDELO,DIST CABEDELO,,,1.0
44,DIST CRATO,CONS CRATO,,,1.0
45,REFI GUAMARE,REFI NATAL,,,145.98181350692192
46,REFI NATAL,DIST NATAL,,,1.0
47,DIST NATAL,DIST GUAMARE,1051327.0,0.016402441197206106,145.98181350692192
48,REFI SAO LUIS,REFI SAO LUIS,,,1.0
49,REFI SAO LUIS,REFI ACAILANDIA,,,446.3003980956466
50,REFI SAO LUIS,REFI TERESINA,,,327.91220980824335
51,REFI ACAILANDIA,REFI MARABA,,,187.0859867561975
52,REFI TERESINA,DIST TERESINA,,,1.0
53,REFI MANAUS,REFI MANAUS,,,1.0
54,REFI MANAUS,REFI ITACOATIARA,,,175.02935732381107
55,REFI MANAUS,REFI BELEM,,,1294.4435135951655
56,REFI MANAUS,REFI PORTO VELHO,,,759.9108386875918
57,REFI MANAUS,REFI CRUZEIRO DO SUL,,,1487.5642442358708
58,REFI MANAUS,REFI CARACARAI,,,563.6550308141277
59,REFI ITACOATIARA,REFI PORTO VELHO,,,868.6121068706113
60,REFI ITACOATIARA,REFI SANTAREM,,,423.18476063922583
61,REFI ITACOATIARA,DIST ITACOATIARA,,,1.0
62,REFI BELEM,REFI MACAPA,,,331.24208413019113
63,REFI PORTO VELHO,REFI VILHENA,,,603.8408694181487
64,REFI PORTO VELHO,REFI SINOP,,,980.3810261296674
65,REFI PORTO VELHO,REFI CUIABA,,,1138.7282366901456
66,REFI PORTO VELHO,REFI VARZEA GRANDE,,,1139.2012315610273
67,REFI PORTO VELHO,REFI RIO BRANCO,,,451.21629614687293
68,REFI PORTO VELHO,DIST PORTO VELHO,,,1.0
69,REFI CRUZEIRO DO SUL,REFI SENADOR GUIOMARD,,,610.7789513004736
70,REFI CRUZEIRO DO SUL,DIST CRUZEIRO DO SUL,,,1.0
71,REFI CARACARAI,REFI BOA VISTA,,,121.7645011528508
72,REFI SANTAREM,REFI ITAITUBA,,,248.84669562361594
73,DIST ITACOATIARA,DIST MANAUS,21270.0,0.0003318472028822373,175.02935732381107
74,DIST ITACOATIARA,CONS ITACOATIARA,,,1.0
75,REFI VILHENA,REFI PORTO VELHO,,,603.8408694181487
76,REFI VILHENA,DIST VILHENA,,,1.0
77,REFI SINOP,DIST SINOP,,,1.0
78,REFI CUIABA,REFI SINOP,,,420.7600374839395
79,REFI CUIABA,DIST CUIABA,,,1.0
80,REFI VARZEA GRANDE,REFI SINOP,,,426.26115642579884
81,REFI VARZEA GRANDE,REFI CUIABA,,,6.2211983507355315
82,REFI VARZEA GRANDE,DIST VARZEA GRANDE,,,1.0
83,REFI RIO BRANCO,REFI SENADOR GUIOMARD,,,21.689638410041308
84,REFI RIO BRANCO,DIST RIO BRANCO,,,1.0
85,REFI MACAPA,DIST MACAPA,,,1.0
86,REFI BETIM,REFI BETIM,,,1.0
87,REFI BETIM,REFI MONTES CLAROS,,,361.93024569566757
88,REFI BETIM,REFI VITORIA,,,407.72564331593804
89,REFI VITORIA,DIST VITORIA,,,1.0
90,REFI RIO DE JANEIRO,REFI ARUJA,,,323.4450362887068
91,REFI RIO DE JANEIRO,REFI BARRA MANSA,,,107.89920469539938
92,REFI RIO DE JANEIRO,REFI VITORIA,,,415.3219417702885
93,REFI ARUJA,DIST ARUJA,,,1.0
94,REFI BARRA MANSA,DIST BARRA MANSA,,,1.0
95,DIST ARUJA,CONS ARUJA,,,1.0
96,DIST BARRA MANSA,CONS BARRA MANSA,,,1.0
97,DIST VITORIA,DIST VITORIA,560078.0,0.008738143756270696,1.0
98,DIST VITORIA,DIST SERRA,146886.0,0.0022916647034584062,21.6347517590674
99,DIST VITORIA,DIST VILA VELHA,130812.0,0.002040883700208332,3.9301986751240143
100,DIST VITORIA,CONS VITORIA,,,1.0
101,REFI DUQUE DE CAXIAS,REFI DUQUE DE CAXIAS,,,1.0
102,REFI DUQUE DE CAXIAS,REFI VITORIA,,,413.74514923114504
103,REFI PAULINIA,REFI GUARAREMA,,,135.17901791398617
104,REFI PAULINIA,REFI PAULINIA,,,1.0
105,REFI PAULINIA,REFI RIBEIRAO PRETO,,,188.89700117298025
106,REFI PAULINIA,REFI ALTO TAQUARI,,,841.9757079394853
107,REFI PAULINIA,REFI BAURU,,,204.7154571679427
108,REFI PAULINIA,REFI BARUERI,,,87.9994335832288
109,REFI PAULINIA,REFI VARZEA GRANDE,,,1230.002265211056
110,REFI PAULINIA,REFI CAMPO GRANDE,,,814.6363924090531
111,REFI PAULINIA,DIST PAULINIA,,,1.0
112,REFI GUARAREMA,REFI SAO JOSE DOS CAMPOS,,,29.166436924074972
113,REFI GUARAREMA,REFI GUARULHOS,,,50.86602342839324
114,REFI GUARAREMA,REFI PAULINIA,,,135.17901791398617
115,REFI RIBEIRAO PRETO,REFI UBERABA,,,158.75978339330078
116,REFI RIBEIRAO PRETO,REFI ARACATUBA,,,272.7218292625573
117,REFI RIBEIRAO PRETO,REFI ALTO TAQUARI,,,683.3090168214445
118,REFI ALTO TAQUARI,REFI RONDONOPOLIS,,,208.75906753921296
119,REFI BAURU,REFI PRESIDENTE PRUDENTE,,,238.38564863330612
120,REFI BARUERI,REFI SAO CAETANO DO SUL,,,35.52032332391868
121,REFI CAMPO GRANDE,DIST CAMPO GRANDE,,,1.0
122,DIST PAULINIA,DIST PAULINIA,5876911.0,0.09168953817291264,1.0
123,DIST PAULINIA,DIST JARDINOPOLIS,23332.0,0.00036401781559230654,203.15629657937976
124,DIST PAULINIA,DIST RIBEIRAO PRETO,17652.0,0.00027540041491665504,188.89700117298025
125,DIST PAULINIA,DIST SAO PAULO,4926.0,7.685375276905975e-05,101.03975140294419
