,position,postos,custo_gasolina,desvio_gasolina,postos_preco,custo_diesel,desvio_diesel
REFI SAO FRANCISCO DO CONDE,"(-38.6786, -12.6183)",,,,,,
REFI CANDEIAS,"(-38.5472, -12.6716)",,,,,,
REFI ITABUNA,"(-39.2781, -14.7876)",,,,,,
REFI JEQUIE,"(-40.0877, -13.8509)",,,,,,
REFI BARREIRAS,"(-44.9968, -12.1439)",,,,,,
REFI CAMACARI,"(-38.3263, -12.6996)",,,,,,
REFI LARANJEIRAS,"(-37.1731, -10.7981)",,,,,,
REFI JUAZEIRO,"(-40.5033, -9.41622)",,,,,,
REFI MONTES CLAROS,"(-43.8578, -16.7282)",,,,,,
REFI TEIXEIRA DE FREITAS,"(-39.74, -17.5399)",,,,,,
DIST JEQUIE,"(-40.0877, -13.8509)",,,,,,
REFI LUIS EDUARDO MAGALHAES,"(-45.7866, -12.0956)",,,,,,
DIST CAMACARI,"(-38.3263, -12.6996)",,,,,,
REFI FORTALEZA,"(-38.5423, -3.71664)",,,,,,
REFI MARACANAU,"(-38.6259, -3.86699)",,,,,,
REFI IPOJUCA,"(-35.0609, -8.39303)",,,,,,
REFI CRATO,"(-39.4103, -7.2153)",,,,,,
REFI CHA DE ALEGRIA,"(-35.204, -8.00679)",,,,,,
REFI CABEDELO,"(-34.8284, -6.98731)",,,,,,
DIST CRATO,"(-39.4103, -7.2153)",,,,,,
REFI GUAMARE,"(-36.3222, -5.10619)",,,,,,
REFI NATAL,"(-35.1986, -5.79357)",,,,,,
DIST NATAL,"(array([-35.1986]), array([-5.79357]))",,,,,,
REFI SAO LUIS,"(-44.2825, -2.53874)",,,,,,
REFI ACAILANDIA,"(-47.5004, -4.94714)",,,,,,
REFI TERESINA,"(-42.8034, -5.09194)",,,,,,
REFI MANAUS,"(-60.0212, -3.11866)",,,,,,
REFI ITACOATIARA,"(-58.4449, -3.13861)",,,,,,
REFI BELEM,"(-48.4898, -1.4554)",,,,,,
REFI PORTO VELHO,"(-63.8999, -8.76077)",,,,,,
REFI CRUZEIRO DO SUL,"(-72.6756, -7.62762)",,,,,,
REFI CARACARAI,"(nan, nan)",,,,,,
REFI ARACARAI,"(nan, nan)",,,,,,
REFI SANTAREM,"(-54.6996, -2.43849)",,,,,,
DIST ITACOATIARA,"(-58.4449, -3.13861)",,,,,,
REFI VILHENA,"(-60.1488, -12.7502)",,,,,,
REFI SINOP,"(-55.5091, -11.8604)",,,,,,
REFI CUIABA,"(-56.0974, -15.601)",,,,,,
REFI VARZEA GRANDE,"(-56.1322, -15.6458)",,,,,,
REFI RIO BRANCO,"(-67.8243, -9.97499)",,,,,,
DIST PORTO VELHO,"(array([-63.8999]), array([-8.76077]))",,,,,,
REFI MACAPA,"(-51.0694, 0.034934)",,,,,,
REFI BETIM,"(-44.2008, -19.9668)",,,,,,
REFI VITORIA,"(-40.3128, -20.3155)",,,,,,
REFI RIO DE JANEIRO,"(-43.2003, -22.9129)",,,,,,
REFI ARUJA,"(-46.32, -23.3965)",,,,,,
REFI BARRA MANSA,"(-44.1752, -22.5481)",,,,,,
DIST ARUJA,"(array([-46.32]), array([-23.3965]))",,,,,,
DIST BARRA MANSA,"(array([-44.1752]), array([-22.5481]))",,,,,,
DIST VITORIA,"(-40.3128, -20.3155)",,,,,,
REFI DUQUE DE CAXIAS,"(-43.3049, -22.7858)",,,,,,
REFI PAULINIA,"(-47.1488, -22.7542)",,,,,,
REFI GUARAREMA,"(-46.0369, -23.4112)",,,,,,
REFI RIBEIRAO PRETO,"(-47.8099, -21.1699)",,,,,,
REFI ALTO TAQUARI,"(-53.2792, -17.8241)",,,,,,
REFI BAURU,"(-49.0871, -22.3246)",,,,,,
REFI BARUERI,"(-46.879, -23.5057)",,,,,,
REFI CAMPO GRANDE,"(-54.6295, -20.4486)",,,,,,
DIST PAULINIA,"(-47.1488, -22.7542)",,,,,,
REFI SAO JOSE DOS CAMPOS,"(-45.8841, -23.1896)",,,,,,
REFI GUARULHOS,"(-46.5333, -23.4538)",,,,,,
REFI UBERABA,"(-47.9381, -19.7472)",,,,,,
REFI ARACATUBA,"(-50.4401, -21.2076)",,,,,,
REFI SANTOS,"(-46.335, -23.9535)",,,,,,
REFI SAO CAETANO DO SUL,"(-46.5548, -23.6229)",,,,,,
REFI CUBATAO,"(-46.424, -23.8911)",,,,,,
REFI SAO PAULO,"(-46.6395, -23.5329)",,,,,,
REFI OURINHOS,"(-49.8697, -22.9797)",,,,,,
DIST SAO JOSE DOS CAMPOS,"(-45.8841, -23.1896)",,,,,,
DIST GUARULHOS,"(-46.5333, -23.4538)",,,,,,
REFI ARAUCARIA,"(-49.4047, -25.5859)",,,,,,
REFI CASCAVEL,"(-53.459, -24.9573)",,,,,,
REFI LONDRINA,"(-51.1691, -23.304)",,,,,,
REFI MARINGA,"(-51.9333, -23.4205)",,,,,,
REFI GUARAMIRIM,"(-49.0026, -26.4688)",,,,,,
REFI ASSIS CHATEAUBRIAND,"(-53.5213, -24.4168)",,,,,,
REFI CAMPO LARGO,"(-49.529, -25.4525)",,,,,,
REFI CIANORTE,"(-52.6054, -23.6599)",,,,,,
REFI GUARAPUAVA,"(-51.4623, -25.3902)",,,,,,
REFI IGUATEMI,"(-54.5637, -23.6736)",,,,,,
REFI NOVA ESPERANCA,"(-52.2031, -23.182)",,,,,,
REFI PINHAIS,"(-49.1927, -25.4429)",,,,,,
REFI PONTA GROSSA,"(-50.1668, -25.0916)",,,,,,
REFI RENASCENCA,"(-52.9703, -26.1588)",,,,,,
