,position,refino,distribuicao,postos,custo_gasolina,desvio_gasolina,postos_preco,custo_diesel,desvio_diesel
SAO FRANCISCO DO CONDE,"(-38.6786, -12.6183)",1.0,1.0,3.0,,,,,
CANDEIAS,"(-38.5472, -12.6716)",1.0,1.0,10.0,,,,,
ITABUNA,"(-39.2781, -14.7876)",1.0,1.0,30.0,8.123,0.093,62.0,7.69,0.336
JEQUIE,"(-40.0877, -13.8509)",1.0,1.0,40.0,7.858,0.104,45.0,7.858,0.495
BARREIRAS,"(-44.9968, -12.1439)",1.0,,40.0,7.908,0.167,37.0,7.729,0.512
CAMACARI,"(-38.3263, -12.6996)",1.0,1.0,48.0,7.802,0.21,48.0,7.55,0.466
LARANJEIRAS,"(-37.1731, -10.7981)",1.0,1.0,2.0,,,,,
JUAZEIRO,"(-40.5033, -9.41622)",1.0,1.0,46.0,8.14,0.152,40.0,7.66,0.408
MONTES CLAROS,"(-43.8578, -16.7282)",1.0,1.0,58.0,7.402,0.203,66.0,7.024,0.408
TEIXEIRA DE FREITAS,"(-39.74, -17.5399)",1.0,,28.0,8.319,0.198,31.0,7.809,0.359
LUIS EDUARDO MAGALHAES,"(-45.7866, -12.0956)",1.0,1.0,33.0,,,,,
FORTALEZA,"(-38.5423, -3.71664)",1.0,1.0,321.0,7.46,0.326,505.0,7.546,0.359
MARACANAU,"(-38.6259, -3.86699)",1.0,1.0,44.0,7.296,0.357,50.0,7.53,0.339
IPOJUCA,"(-35.0609, -8.39303)",1.0,1.0,10.0,,,,,
CRATO,"(-39.4103, -7.2153)",1.0,1.0,40.0,7.734,0.107,49.0,7.579,0.311
CHA DE ALEGRIA,"(-35.204, -8.00679)",1.0,1.0,3.0,,,,,
CABEDELO,"(-34.8284, -6.98731)",1.0,1.0,12.0,7.159,0.111,22.0,7.166,0.679
GUAMARE,"(-36.3222, -5.10619)",1.0,1.0,4.0,,,,,
NATAL,"(-35.1986, -5.79357)",1.0,1.0,107.0,7.549,0.279,99.0,7.393,0.453
SAO LUIS,"(-44.2825, -2.53874)",1.0,1.0,153.0,6.972,0.143,215.0,7.025,0.354
ACAILANDIA,"(-47.5004, -4.94714)",1.0,1.0,29.0,7.435,0.157,40.0,7.311,0.392
TERESINA,"(-42.8034, -5.09194)",1.0,,203.0,7.941,0.167,185.0,7.442,0.351
MANAUS,"(-60.0212, -3.11866)",1.0,1.0,306.0,7.272,0.183,164.0,7.174,0.403
ITACOATIARA,"(-58.4449, -3.13861)",1.0,1.0,33.0,7.872,0.129,48.0,8.005,0.438
BELEM,"(-48.4898, -1.4554)",1.0,1.0,117.0,7.134,0.136,85.0,,
PORTO VELHO,"(-63.8999, -8.76077)",1.0,,119.0,7.166,0.208,110.0,7.448,0.423
CRUZEIRO DO SUL,"(-72.6756, -7.62762)",1.0,,30.0,7.925,0.187,50.0,8.555,0.323
CARACARAI,"(-61.1304, 1.82766)",1.0,,5.0,,,,,
SANTAREM,"(-54.6996, -2.43849)",1.0,,70.0,7.283,0.189,48.0,7.513,0.375
VILHENA,"(-60.1488, -12.7502)",1.0,1.0,30.0,7.6,0.088,31.0,7.776,0.361
SINOP,"(-55.5091, -11.8604)",1.0,1.0,43.0,7.12,0.181,47.0,7.487,0.414
CUIABA,"(-56.0974, -15.601)",1.0,1.0,134.0,6.882,0.157,315.0,7.296,0.354
VARZEA GRANDE,"(-56.1322, -15.6458)",1.0,,2.0,6.768,0.164,84.0,7.21,0.401
RIO BRANCO,"(-67.8243, -9.97499)",1.0,,57.0,7.591,0.13,140.0,7.936,0.347
MACAPA,"(-51.0694, 0.034934)",1.0,,77.0,6.404,0.257,95.0,7.097,0.396
BETIM,"(-44.2008, -19.9668)",1.0,1.0,52.0,7.435,0.145,44.0,7.112,0.375
VITORIA,"(-40.3128, -20.3155)",1.0,1.0,46.0,7.344,0.164,83.0,7.102,0.459
RIO DE JANEIRO,"(-43.2003, -22.9129)",1.0,1.0,656.0,7.656,0.23,356.0,7.057,0.435
ARUJA,"(-46.32, -23.3965)",1.0,1.0,18.0,,,,,
BARRA MANSA,"(-44.1752, -22.5481)",1.0,1.0,30.0,7.901,0.194,50.0,7.245,0.383
DUQUE DE CAXIAS,"(-43.3049, -22.7858)",1.0,1.0,89.0,7.613,0.201,90.0,6.994,0.349
PAULINIA,"(-47.1488, -22.7542)",1.0,1.0,25.0,6.759,0.127,67.0,6.976,0.375
GUARAREMA,"(-46.0369, -23.4112)",1.0,,7.0,,,,,
RIBEIRAO PRETO,"(-47.8099, -21.1699)",1.0,1.0,177.0,6.806,0.212,133.0,7.044,0.408
ALTO TAQUARI,"(-53.2792, -17.8241)",1.0,,2.0,,,,,
BAURU,"(-49.0871, -22.3246)",1.0,1.0,88.0,6.754,0.27,107.0,6.983,0.382
