MUNICIPIO ORIGEM,UF ORIGEM,MUNICIPIO DESTINO,UF DESTINO,VOLUME (M3),%
PAULINIA,SP,PAULINIA,SP,5876911,0.091689538
BETIM,MG,BETIM,MG,4935177,0.076996929
ARAUCARIA,PR,ARAUCARIA,PR,4850411,0.075674439
MANAUS,AM,MANAUS,AM,3458922,0.053964908
CANOAS,RS,CANOAS,RS,3190026,0.049769685
SAO LUIS,MA,SAO LUIS,MA,2917036,0.045510589
DUQUE DE CAXIAS,RJ,DUQUE DE CAXIAS,RJ,2864517,0.044691206
SAO FRANCISCO DO CONDE,BA,SAO FRANCISCO DO CONDE,BA,2667641,0.041619615
SAO CAETANO DO SUL,SP,SAO PAULO,SP,2448269,0.038197048
SAO JOSE DOS CAMPOS,SP,SAO JOSE DOS CAMPOS,SP,1707326,0.026637111
CANOAS,RS,ESTEIO,RS,1685360,0.026294405
GUARULHOS,SP,GUARULHOS,SP,1193612,0.018622323
BARUERI,SP,BARUERI,SP,1142164,0.017819649
ITAJAI,SC,ITAJAI,SC,1140930,0.017800396
BRASILIA,DF,BRASILIA,DF,1129854,0.017627592
SENADOR CANEDO,GO,GOIANIA,GO,1107770,0.017283045
NATAL,RN,GUAMARE,RN,1051327,0.016402441
UBERLANDIA,MG,UBERLANDIA,MG,986212,0.015386539
PARANAGUA,PR,ARAUCARIA,PR,904431,0.01411062
RIBEIRAO PRETO,SP,RIBEIRAO PRETO,SP,880073,0.013730595
CURITIBA,PR,ARAUCARIA,PR,861166,0.013435615
CUBATAO,SP,CUBATAO,SP,811811,0.012665595
BELEM,PA,BELEM,PA,804345,0.012549113
SAO CAETANO DO SUL,SP,SAO CAETANO DO SUL,SP,778802,0.0121506
SENADOR CANEDO,GO,SENADOR CANEDO,GO,774072,0.012076804
FORTALEZA,CE,FORTALEZA,CE,768214,0.01198541
IPOJUCA,PE,IPOJUCA,PE,760673,0.011867758
SAO PAULO,SP,GUARULHOS,SP,628825,0.009810711
SAO FRANCISCO DO CONDE,BA,CANDEIAS,BA,584708,0.009122413
VITORIA,ES,VITORIA,ES,560078,0.008738144
SAO PAULO,SP,PAULINIA,SP,529521,0.008261404
CABEDELO,PB,CABEDELO,PB,505166,0.007881426
CABO DE SANTO AGOSTINHO,PE,IPOJUCA,PE,494741,0.007718778
RIO GRANDE,RS,RIO GRANDE,RS,487830,0.007610955
SAO FRANCISCO DO CONDE,BA,JEQUIE,BA,427346,0.006667305
RECIFE,PE,IPOJUCA,PE,407374,0.006355709
CABO DE SANTO AGOSTINHO,PE,SAO LUIS,MA,373981,0.005834723
SAO FRANCISCO DO CONDE,BA,ITABUNA,BA,365978,0.005709863
MARECHAL DEODORO,AL,MACEIO,AL,347334,0.005418985
MANAUS,AM,ITACOATIARA,AM,320985,0.005007897
UBERABA,MG,UBERABA,MG,294715,0.004598042
RIO DE JANEIRO,RJ,ARUJA,SP,270244,0.004216254
GUARAMIRIM,SC,GUARAMIRIM,SC,247380,0.003859537
BIGUACU,SC,BIGUACU,SC,231109,0.003605683
GUARULHOS,SP,PAULINIA,SP,226201,0.00352911
SAO PAULO,SP,CUBATAO,SP,189187,0.00295163
RIO DE JANEIRO,RJ,BARRA MANSA,RJ,181519,0.002831997
CAMACARI,BA,SAO FRANCISCO DO CONDE,BA,174531,0.002722972
VITORIA,ES,SERRA,ES,146886,0.002291665
VITORIA,ES,VILA VELHA,ES,130812,0.002040884
RECIFE,PE,SAO LUIS,MA,129356,0.002018168
CANOAS,RS,PASSO FUNDO,RS,124112,0.001936353
CABO DE SANTO AGOSTINHO,PE,PORTO NACIONAL,TO,123930,0.001933513
TRIUNFO,RS,ESTEIO,RS,112853,0.001760694
TRIUNFO,RS,CANOAS,RS,112247,0.001751239
BRASILIA,DF,BETIM,MG,100628,0.001569963
CAMACARI,BA,CANDEIAS,BA,100391,0.001566266
VOLTA REDONDA,RJ,VOLTA REDONDA,RJ,97390,0.001519445
RECIFE,PE,SENADOR CANEDO,GO,94007,0.001466665
SALVADOR,BA,SAO FRANCISCO DO CONDE,BA,89462,0.001395755
SANTO ANDRE,SP,GUARULHOS,SP,77724,0.001212623
SAO JOSE DOS CAMPOS,SP,PAULINIA,SP,74230,0.001158111
SANTO ANDRE,SP,SAO JOSE DO RIO PRETO,SP,74111,0.001156254
GUARULHOS,SP,SAO PAULO,SP,72250,0.00112722
RIO GRANDE,RS,CANOAS,RS,71815,0.001120433
SAO PAULO,SP,BARUERI,SP,67619,0.001054968
CURITIBA,PR,SARANDI,PR,66761,0.001041582
RIO GRANDE,RS,ESTEIO,RS,66278,0.001034046
CAXIAS DO SUL,RS,RIO GRANDE,RS,64307,0.001003296
SAO JOSE DOS CAMPOS,SP,SAO PAULO,SP,57257,0.000893304
TRIUNFO,RS,PASSO FUNDO,RS,56922,0.000888077
RIO GRANDE,RS,BAGE,RS,53226,0.000830414
RIO GRANDE,RS,TUBARAO,SC,52570,0.000820179
SAO PAULO,SP,SAO PAULO,SP,52569,0.000820163
BRASILIA,DF,UBERLANDIA,MG,52374,0.000817121
SANTO ANDRE,SP,RIBEIRAO PRETO,SP,51988,0.000811099
CABO DE SANTO AGOSTINHO,PE,CHA DE ALEGRIA,PE,51514,0.000803704
PARANAGUA,PR,PAULINIA,SP,50389,0.000786152
SAO PAULO,SP,RIBEIRAO PRETO,SP,50067,0.000781128
CAMACARI,BA,LARANJEIRAS,SE,49442,0.000771377
SAO LUIS,MA,BELEM,PA,48632,0.00075874
SAO PAULO,SP,PORTO NACIONAL,TO,45829,0.000715008
RIO DE JANEIRO,RJ,DUQUE DE CAXIAS,RJ,45718,0.000713276
RIO GRANDE,RS,RENASCENCA,PR,45241,0.000705834
CIANORTE,PR,ARAUCARIA,PR,44014,0.000686691
SANTO ANDRE,SP,BARUERI,SP,43658,0.000681137
GUAMARE,RN,PARNAMIRIM,RN,42180,0.000658078
