Ranking;Rodovia;Sobreposições existentes;UF;Região;Município inicial;Município final;Jurisdição;Gestão;Extensão pesquisada (KM);Escalas de extensão;Classificação geral
505;BR-163;BR-282;SC;Sul;Dionísio Cerqueira;São Miguel do Oeste;Federal;Pública;59;Até 100 km;Péssimo
504;RS-153;BR-153, BR-471;RS;Sul;Barros Cassal;Vera Cruz;Estadual;Pública;82;Até 100 km;Péssimo
503;AC-405;BR-364;AC;Norte;Mâncio Lima;Rodrigues Alves;Estadual;Pública;64;Até 100 km;Péssimo
502;AC-010;-;AC;Norte;Porto Acre;Rio Branco;Estadual;Pública;66;Até 100 km;Péssimo
501;AM-010;-;AM;Norte;Manaus;Itacoatiara;Estadual;Pública;253;Mais de 250 km até 500 km;Péssimo
500;BA-122;BR-122, BR-330, BR-349;BA;Nordeste;Morro do Chapéu;Seabra;Estadual;Pública;126;Mais de 100 km até 250 km;Péssimo
499;PE-177;-;PE;Nordeste;Quipapá;Garanhuns;Estadual;Pública;55;Até 100 km;Péssimo
498;PE-545;BR-122;PE;Nordeste;Exu;Ouricuri;Estadual;Pública;76;Até 100 km;Péssimo
497;MA-006;BR-330;MA;Nordeste;Buriticupu;Alto Parnaíba;Estadual;Pública;652;Mais de 500 km;Péssimo
496;PE-096;-;PE;Nordeste;Palmares;Barreiros;Estadual;Pública;50;Até 100 km;Péssimo
495;RJ-148;-;RJ;Sudeste;Carmo;Nova Friburgo;Estadual;Pública;63;Até 100 km;Péssimo
494;BR-364;BR-307;AC;Norte;Cruzeiro do Sul;Acrelândia;Federal;Pública;762;Mais de 500 km;Péssimo
493;TO-335;-;TO;Norte;Palmeirante;Couto Magalhães;Estadual;Pública;183;Mais de 100 km até 250 km;Péssimo
492;PE-126;-;PE;Nordeste;Palmares;Quipapá;Estadual;Pública;55;Até 100 km;Péssimo
491;RS-471;BR-471;RS;Sul;Pantano Grande;Canguçu;Estadual;Pública;128;Mais de 100 km até 250 km;Péssimo
490;PI-141;BR-324;PI;Nordeste;Eliseu Martins;São João do Piauí;Estadual;Pública;176;Mais de 100 km até 250 km;Péssimo
489;BR-421;-;RO;Norte;Ariquemes;Monte Negro;Federal;Pública;70;Até 100 km;Péssimo
488;PB-066;BR-408;PB;Nordeste;Ingá;Juripiranga;Estadual;Pública;54;Até 100 km;Péssimo
487;BA-142;BR-407;BA;Nordeste;Tanhaçu;Anagé;Estadual;Pública;57;Até 100 km;Péssimo
486;BR-155;-;PA;Norte;Marabá;Redenção;Federal;Pública;345;Mais de 250 km até 500 km;Péssimo
485;MG-190;-;MG;Sudeste;Abadia dos Dourados;Romaria;Estadual;Pública;58;Até 100 km;Péssimo
484;PB-386;BR-361;PB;Nordeste;Itaporanga;Conceição;Estadual;Pública;58;Até 100 km;Ruim
483;MG-462;BR-462;MG;Sudeste;Patrocínio;Perdizes;Estadual;Pública;69;Até 100 km;Ruim
482;BA-026;BR-030, BR-330, BR-407;BA;Nordeste;Maracás;Tanhaçu;Estadual;Pública;113;Mais de 100 km até 250 km;Ruim
481;SC-350;-;SC;Sul;Água Doce;Santa Cecília;Estadual;Pública;131;Mais de 100 km até 250 km;Ruim
480;MA-034;BR-222;MA;Nordeste;Tutóia;Brejo;Estadual;Pública;161;Mais de 100 km até 250 km;Ruim
479;GO-184;BR-158;GO;Centro-Oeste;Jataí;Aporé;Estadual;Pública;145;Mais de 100 km até 250 km;Ruim
478;PB-238;-;PB;Nordeste;Assunção;Teixeira;Estadual;Pública;74;Até 100 km;Ruim
477;TO-387;-;TO;Norte;Paranã;Jaú do Tocantins;Estadual;Pública;125;Mais de 100 km até 250 km;Ruim
476;PE-604;BR-122;PE;Nordeste;Ouricuri;Lagoa Grande;Estadual;Pública;127;Mais de 100 km até 250 km;Ruim
475;MA-106;BR-308;MA;Nordeste;Governador Nunes Freire;Alcântara;Estadual;Pública;239;Mais de 100 km até 250 km;Ruim
474;MS-377;-;MS;Centro-Oeste;Inocência;Água Clara;Estadual;Pública;128;Mais de 100 km até 250 km;Ruim
473;GO-142;-;GO;Centro-Oeste;Montividiu do Norte;Formoso;Estadual;Pública;75;Até 100 km;Ruim
472;RJ-155;BR-494;RJ;Sudeste;Barra Mansa;Angra dos Reis;Estadual;Pública;78;Até 100 km;Ruim
471;RS-640;-;RS;Sul;São Vicente do Sul;Rosário do Sul;Estadual;Pública;64;Até 100 km;Ruim
470;PE-265;BR-110;PE;Nordeste;Sertânia;Sertânia;Estadual;Pública;50;Até 100 km;Ruim
469;MS-240;-;MS;Centro-Oeste;Paranaíba;Inocência;Estadual;Pública;81;Até 100 km;Ruim
468;SC-135;-;SC;Sul;Caçador;Tangará;Estadual;Pública;58;Até 100 km;Ruim
467;BR-158;BR-060, BR-070, BR-364;GO;Centro-Oeste;Aragarças;Jataí;Federal;Pública;281;Mais de 250 km até 500 km;Ruim
466;SE-170;BR-349, SE-270;SE;Nordeste;Moita Bonita;Tobias Barreto;Estadual;Pública;101;Mais de 100 km até 250 km;Ruim
465;RS-377;BR-377;RS;Sul;Jóia;Alegrete;Estadual;Pública;232;Mais de 100 km até 250 km;Ruim
464;MA-006;BR-308;MA;Nordeste;Cururupu;Pinheiro;Estadual;Pública;98;Até 100 km;Ruim
463;PB-400;-;PB;Nordeste;Cajazeiras;Conceição;Estadual;Pública;102;Mais de 100 km até 250 km;Ruim
462;PE-275;BR-110;PE;Nordeste;Brejinho;Sertânia;Estadual;Pública;104;Mais de 100 km até 250 km;Ruim
461;GO-050;BR-060;GO;Centro-Oeste;Jataí;Chapadão do Céu;Estadual;Pública;126;Mais de 100 km até 250 km;Ruim
460;RS-472;BR-472;RS;Sul;Frederico Westphalen;Três Passos;Estadual;Pública;70;Até 100 km;Ruim
459;GO-330;BR-352, BR-457;GO;Centro-Oeste;Anápolis;Catalão;Estadual;Pública;219;Mais de 100 km até 250 km;Ruim
458;MG-482;BR-356, BR-482;MG;Sudeste;Conselheiro Lafaiete;Viçosa;Estadual;Pública;129;Mais de 100 km até 250 km;Ruim
457;MT-343;-;MT;Centro-Oeste;Arenápolis;Barra do Bugres;Estadual;Pública;78;Até 100 km;Ruim
456;PE-060;-;PE;Nordeste;Cabo de Santo Agostinho;Barreiros;Estadual;Pública;73;Até 100 km;Ruim
455;MG-290;-;MG;Sudeste;Pouso Alegre;Jacutinga;Estadual;Pública;98;Até 100 km;Ruim
454;MG-265;BR-265;MG;Sudeste;Ubá;Mercês;Estadual;Pública;68;Até 100 km;Ruim
453;PE-090;-;PE;Nordeste;Carpina;Vertentes;Estadual;Pública;94;Até 100 km;Ruim
452;RS-481;BR-481;RS;Sul;Cruz Alta;Novo Cabrais;Estadual;Pública;133;Mais de 100 km até 250 km;Ruim
451;TO-050;BR-010;TO;Norte;Palmas;Silvanópolis;Estadual;Pública;106;Mais de 100 km até 250 km;Ruim
450;SC-305;-;SC;Sul;São Lourenço do Oeste;Guaraciaba;Estadual;Pública;71;Até 100 km;Ruim
449;BR-352;-;MG;Sudeste;Abaeté;Pará de Minas;Federal;Pública;122;Mais de 100 km até 250 km;Ruim
448;GO-164;BR-483;GO;Centro-Oeste;Quirinópolis;São Simão;Estadual;Pública;70;Até 100 km;Ruim
447;MG-427;-;MG;Sudeste;Uberaba;Planura;Estadual;Pública;104;Mais de 100 km até 250 km;Ruim
446;BA-130;BR-407;BA;Nordeste;Capim Grosso;Boa Vista do Tupim;Estadual;Pública;161;Mais de 100 km até 250 km;Ruim
445;MG-267;BR-267, BR-383;MG;Sudeste;Campanha;Caxambu;Estadual;Pública;69;Até 100 km;Ruim
444;TO-498;-;TO;Norte;Peixe;Jaú do Tocantins;Estadual;Pública;79;Até 100 km;Ruim
443;PR-317;-;PR;Sul;Toledo;Santa Helena;Estadual;Pública;89;Até 100 km;Ruim
442;PR-092;BR-272;PR;Sul;Santo Antônio da Platina;Jaguariaíva;Estadual;Pública;128;Mais de 100 km até 250 km;Ruim
441;AP-010;-;AP;Norte;Macapá;Mazagão;Estadual;Pública;70;Até 100 km;Ruim
